date;est_weekend;est_ferie;period_soldes;produit_id;nom_produit;client_id;jour_semaine;quantite_vente;event_commerciaux;segment;campagne_marketing;remise_pct;genre_client;prix;prix_concurrent_moyen;saisonnalite;taux-fidelite
01/01/2018;1;1;1;PROD-7A8B9C0D;Pablo Laine Macrines;CLI-8D9E0F1A;Monday;27;New Year;Standard;Email;0.34;M;84.27;95.82;0.8;0.55
20/01/2018;1;0;0;PROD-501;Tapis Tressé Jute;CLI-033;Samedi;5;None;Professionnel;None;0;M;89.99;85.00;0.9;0.30
20/01/2018;1;0;0;PROD-501;Tapis Tressé Jute;CLI-033;Samedi;5;None;Professionnel;None;0;M;89.99;85.00;0.9;0,4
14/02/2018;0;0;0;PROD-9A0B1C2D;Port de fleurs Design;CLI-3D4E5F6A;Wednesday;34;Valentine's;Standard;TV;0.18;M;118.90;130.25;1.2;0.71
18/02/2018;1;0;0;PROD-601;Horloge Murale Bois Massif;CLI-078;Dimanche;6;None;Particulier;None;0;F;79.50;75.00;1.0;0.28
15/03/2018;0;0;0;PROD-502;Cadre Photo Bambou;CLI-121;Jeudi;7;Printemps;Particulier;Emailing;10;F;29.90;31.50;1.1;0.17
21/03/2018;0;0;0;PROD-7B8C9D0E;Céramique émilie;CLI-2B3C4D5E;Wednesday;35;Spring Equinox;Premium;Search Ads;0.07;M;147.55;140.12;1.0;0.97
28/03/2018;0;0;0;PROD-504;Coussin Méditation;CLI-144;Mercredi;4;None;Particulier;None;0;M;44.90;42.00;0.9;0.21
01/04/2018;0;0;0;PROD-825;Papier Peint Réactif;CLI-088;Dimanche;3;Poisson_Avril;Particulier;Google_Ads;0;M;59.90;56.00;1.1;0.24
15/04/2018;1;0;0;PROD-621;Set de 4 Chaises Design;CLI-144;Dimanche;5;None;Professionnel;None;0;F;399.00;375.00;1.2;0.17
28/04/2018;1;0;0;PROD-731;Fauteuilé  Bascule Ergonomique;CLI-088;Samedi;6;None;Professionnel;Reseaux_Sociaux;0;F;590.00;555.00;1.4;0.20
30/04/2018;0;0;0;PROD-401;Ensemble de Verres Design;CLI-099;Lundi;4;None;Particulier;None;0;Autre;40.00;38.00;0.8;0.19
12/05/2018;1;0;0;PROD-602;Vase en Verre Soufflé;CLI-122;Samedi;9;Fete_Meres;Professionnel;Reseaux_Sociaux;10;M;45.00;47.50;1.4;0.70
12/05/2018;1;0;0;PROD-5A8B3C9D;Saphi NFT;CLI-9A8B7C6D;Saturday;38;Promo Flash;Premium;Email;0.33;M;103.63;192.12;1.0;0.74
19/05/2018;1;0;0;PROD-801;Bougeoir Volcanique;CLI-147;Samedi;8;None;Particulier;None;0;F;129.00;135.00;1.2;0.57
15/06/2018;0;0;0;PROD-505;Porte-Couteaux Magnétique;CLI-099;Vendredi;7;Fete_Peres;Professionnel;Emailing;0;F;29.50;31.00;1.2;0.20
18/06/2018;0;0;0;PROD-7D8E9F0A;Port de fleurs Design;CLI-8F9A0B1C;Monday;27;Father's Day;Standard;Email;0.19;M;119.65;129.88;1.2;0.77
21/06/2018;1;0;0;PROD-841;Sphére Flottante;CLI-211;Samedi;14;Solstice_Ete;Particulier;Emailing;0;F;5990.00;6300.00;2.2;0.21
04/07/2018;1;1;1;PROD-6B7C8D9E;Ensemble Verres Design;CLI-1F2A3B4C;Wednesday;25;Independence Day;Standard;Search Ads;0.30;F;18.50;43.27;1.0;0.46
07/07/2018;1;0;0;PROD-629;Statue Jardin Bronze;CLI-033;Samedi;7;None;Professionnel;Reseaux_Sociaux;0;F;249.00;235.00;1.8;0.35
21/07/2018;1;0;0;PROD-739;Jardin Vertical Automatique;CLI-256;Samedi;12;Solstice_Ete;Particulier;Google_Ads;0;F;1590.00;1500.00;2.0;0.17
22/07/2018;1;0;0;PROD-503;Suspension Macramé;CLI-045;Dimanche;9;Solstice_Ete;Professionnel;Reseaux_Sociaux;0;F;69.50;72.00;1.6;2.32
11/08/2018;1;0;0;PROD-833;étagéres Gravitationnelles;CLI-211;Samedi;9;Solstice_Ete;Particulier;Google_Ads;0;F;790.00;830.00;1.9;0.49
19/08/2018;1;0;0;PROD-603;Porte-Manteau Design;CLI-045;Dimanche;11;Solstice_Ete;Particulier;Influenceurs;0;F;89.90;84.00;1.7;1.33
03/09/2018;0;0;0;PROD-7D3E1F9A;Pablo Laine Macrines;CLI-7A8B9C0D;Monday;27;Back to School;Standard;Email;0.34;M;84.27;95.82;0.8;0.55
08/09/2018;0;0;0;PROD-101;Suspension en Rotin Naturel;CLI-211;Samedi;6;Rentree;Particulier;Google_Ads;5;M;69.99;74.00;1.0;0.28
09/09/2018;1;0;0;PROD-809;Sculpture Cinétique;CLI-033;Dimanche;4;None;Particulier;None;0;F;2490.00;2340.00;1.1;1.18
14/09/2018;0;0;0;PROD-716;Revétement Mural 3D;CLI-088;Vendredi;12;None;Particulier;None;0;M;95.00;89.00;1.1;0.30
22/09/2018;1;0;0;PROD-506;Plateau Petit Déjeuner;CLI-045;Samedi;10;Equinoxe;Particulier;Reseaux_Sociaux;5;M;69.90;66.00;1.6;0.29
05/10/2018;0;0;0;PROD-701;Mur Végétal Modulaire;CLI-145;Vendredi;7;None;Professionnel;None;0;M;349.00;330.00;1.4;1.65
31/10/2018;1;0;0;PROD-302;Bougeoir en Céramique émaillée;CLI-078;Mercredi;15;Halloween;Professionnel;Influenceurs;15;M;39.90;42.00;1.7;0.31
31/10/2018;0;0;0;PROD-7C8D9E0F;Saphi NFT;CLI-2D3E4F5A;Wednesday;26;Halloween;Premium;TV;0.29;F;112.45;186.77;1.0;0.80
11/11/2018;0;0;1;PROD-2A3B4C5D;Saphi NFT;CLI-3B4C5D6E;Sunday;26;Single's Day;Economy;Search Ads;0.31;F;97.84;185.91;1.0;0.79
23/11/2018;0;0;0;PROD-401;Ensemble de Verres Design;CLI-055;Vendredi;8;Black_Friday;Particulier;Emailing;30;F;42.50;40.00;1.7;0.26
30/11/2018;0;0;0;PROD-817;Coussin Thérapeutique;CLI-033;Vendredi;16;Black_Friday;Particulier;Google_Ads;35;F;159.00;150.00;1.9;0.58
08/12/2018;1;0;0;PROD-724;Sapin Artificiel Designer;CLI-256;Samedi;24;Noel;Particulier;Emailing;0;F;299.00;315.00;2.9;0.20
15/12/2018;1;0;0;PROD-302;Bougeoir en Céramique émaillée;CLI-122;Samedi;22;Noel;Professionnel;Reseaux_Sociaux;15;M;41.90;44.00;2.5;0.39
24/12/2018;1;0;1;PROD-8B9C0D1E;Protection Panoramique;CLI-6C7D8E9F;Monday;30;Christmas Eve;Premium;Social Media;0.17;Autre;158.33;115.42;1.2;0.89
05/01/2019;0;0;1;PROD-604;Set de Bols Céramique;CLI-099;Samedi;7;Soldes_Hiver;Professionnel;Emailing;30;Autre;29.99;31.00;1.1;0.54
12/01/2019;1;0;1;PROD-304;Guirlande Lumineuse étoiles;CLI-022;Samedi;8;Soldes_Hiver;Particulier;Emailing;25;F;23.99;25.25;1.2;0.20
22/01/2019;0;0;1;PROD-702;Systéme éclairage Connecté;CLI-099;Mardi;11;Soldes_Hiver;Particulier;Emailing;25;F;229.00;240.00;1.8;0.17
02/02/2019;1;0;0;PROD-740;Systéme de Réalité Augmentée;CLI-088;Samedi;5;None;Professionnel;Reseaux_Sociaux;0;M;4990.00;5240.00;1.3;0.15
03/02/2019;0;0;0;PROD-4D5E6F7A;Pablo Laine Macrines;CLI-1D2E3F4A;Sunday;25;Winter Sale;Standard;Search Ads;0.24;F;82.15;88.76;0.8;0.57
14/02/2019;0;0;0;PROD-507;Coffret Bougies Parfumées;CLI-211;Jeudi;20;Saint_Valentin;Professionnel;Influenceurs;15;F;49.90;52.00;1.7;0.50
28/02/2019;0;0;0;PROD-802;Tapis éphémére UV;CLI-288;Jeudi;5;None;Professionnel;Google_Ads;0;M;349.00;330.00;0.9;0.22
28/02/2019;0;0;0;PROD-202;Fauteuil Papillon Velours;CLI-088;Jeudi;4;None;Professionnel;None;0;F;249.00;262.00;0.9;2.21
10/03/2019;0;0;0;PROD-305;Pot de Fleurs Design Terracotta;CLI-199;Dimanche;5;Printemps;Particulier;Google_Ads;0;F;32.00;33.75;1.0;0.49
15/03/2019;0;0;0;PROD-842;Luminaires Mycélium;CLI-144;Vendredi;8;Printemps;Professionnel;Google_Ads;0;M;890.00;840.00;1.5;0.58
17/03/2019;0;0;0;PROD-2B3C4D5E;Céramique émilie;CLI-6D7E8F9A;Sunday;40;St. Patrick's;Premium;Social Media;0.15;F;156.89;143.76;1.0;0.87
30/03/2019;1;0;0;PROD-630;Mobilier de Salon Modulaire;CLI-088;Samedi;11;Printemps;Particulier;Influenceurs;10;M;899.00;950.00;1.6;0.18
19/04/2019;1;0;0;PROD-305;Pot de Fleurs Design Terracotta;CLI-122;Vendredi;11;Paques;Particulier;Emailing;10;M;31.00;32.75;1.3;1.09
